ICB23CD,ICB23NM,mh_snomed,mhsds_flag,Der_Financial_Year,assess_attends,assess_time_total,treat_attends,treat_time_total,conclude_attends,conclude_time_total,depart_attends,depart_time_total,decadm_attends,decadm_time_total
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2023/24,8865,210820,9276,1028826,9276,1028826,9573,2805194,1848,401665
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2019/20,107,2232,119,15989,119,25338,119,27465,11,2130
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2020/21,98,1119,114,6831,114,18402,114,19144,9,1674
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2021/22,117,1873,123,12716,123,13988,123,26759,8,1040
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2022/23,119,1807,119,14012,119,14012,123,32548,7,717
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2023/24,134,2623,136,16598,136,16598,137,35699,9,810
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2019/20,950,16554,1027,120766,1048,218974,1051,231598,100,16138
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2020/21,745,8312,788,59069,799,144507,802,150946,86,12348
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2021/22,957,15902,1007,99336,1015,113037,1022,245231,101,20063
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2022/23,814,18452,838,94502,838,94565,847,231130,66,15069
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2023/24,773,16375,787,92122,787,92122,791,230735,55,11872
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2019/20,54073,371199,67057,5927904,71659,11909010,71674,11931155,61784,238712
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2020/21,33907,217730,40309,1882935,41870,5338699,42207,5771768,36192,103933
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2021/22,60467,480433,72672,7589571,72815,7885029,79357,15386989,67609,247618
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2022/23,56872,497747,72144,8132989,72146,8136493,79761,17359918,66719,257074
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2023/24,50246,386959,67193,7633437,67193,7633437,74642,16045704,62351,243508
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2019/20,16015,127051,18611,1709698,20587,3943874,20587,3968347,17459,118260
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2020/21,11198,95447,13139,750030,13892,2177703,13992,2350872,11885,67316
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2021/22,16057,160911,18037,2111617,18085,2208697,20554,4602322,17198,121610
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2022/23,13975,160232,15754,2065544,15754,2067098,18396,4704101,15251,92193
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2023/24,12606,131607,14683,1900791,14683,1900791,17323,4299011,14535,97386
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2019/20,133,1413,163,18861,179,34674,179,34660,150,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2020/21,95,833,120,8554,122,19186,122,21018,100,20
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2021/22,153,1857,179,24349,180,26406,188,42589,145,593
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2022/23,131,1357,150,22466,150,22466,160,41279,127,778
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2023/24,117,1041,147,19917,147,19917,162,37079,135,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2019/20,751,6864,899,89722,1156,272306,1157,274496,1041,5737
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2020/21,763,6911,878,62789,929,184003,938,205610,843,3409
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2021/22,927,11465,1065,147818,1068,157943,1208,380132,1058,6027
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2022/23,758,10083,908,139544,908,139544,1076,347172,966,3334
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2023/24,672,6645,830,117734,830,117734,994,316591,908,1868
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2019/20,36489,544088,44267,3634448,47564,6941255,47570,7097660,9361,1688588
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2020/21,21315,230593,26460,1335630,28241,3177891,28382,3407717,5440,751665
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2021/22,49024,1070576,55976,5697905,56092,5885687,60462,10950749,8367,1740433
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2022/23,55388,1409853,61801,7378082,61801,7383013,67904,13651878,7986,1815339
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2023/24,58502,1016869,66315,6924466,66315,6924466,70159,13095776,8240,1796580
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2019/20,17087,256781,21230,1727126,22739,3681904,22742,3832941,5138,1047290
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2020/21,10783,117961,13861,695183,14786,1884380,14891,2088060,3237,528939
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2021/22,19663,443150,22430,2217548,22476,2294994,24254,4807344,3631,879367
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2022/23,19704,533298,21422,2542931,21423,2545371,23757,5353615,3261,895685
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2023/24,19389,368827,21666,2393250,21666,2393250,23003,5105028,2955,799264
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2019/20,95,1408,112,13747,117,21990,117,21654,8,1156
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2020/21,90,1090,107,6358,108,15954,110,16975,10,1829
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2021/22,140,2863,159,24279,160,24647,163,37902,3,454
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2022/23,112,1763,135,24853,135,24907,139,36984,3,551
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2023/24,114,2198,134,24171,134,24171,135,36583,6,1343
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2019/20,744,12007,840,84850,849,201829,849,207806,293,55880
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2020/21,740,6994,850,46262,867,184102,868,196583,171,26355
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2021/22,1107,21343,1320,187735,1319,197401,1336,420363,283,73115
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2022/23,995,23894,1192,213074,1192,213074,1192,427208,162,44489
