ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,4,0,0,54,1
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,5,0,1,7,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,3,0,0,8064,68
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,5,0,1,20,0
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,5,0,1,3,0
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,4,0,1,3179,0
E54000034,NHS Frimley Integrated Care Board,2019/20,5,0,0,460,0
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,3,0,0,8367,76
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,1,0,1,24048,1504
E54000062,NHS Black Country Integrated Care Board,2023/24,3,0,1,17276,645
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,4,1,1,3,0
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,3,1,1,9,1
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,3,0,0,64894,802
E54000041,NHS Dorset Integrated Care Board,2021/22,1,0,1,16065,933
E54000027,NHS North West London Integrated Care Board,2022/23,4,0,1,2781,96
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,4,0,1,3578,224
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,4,0,0,58,2
E54000038,NHS Somerset Integrated Care Board,2022/23,3,0,0,24804,758
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,1,0,1,12842,815
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,3,0,0,51834,1688
E54000027,NHS North West London Integrated Care Board,2021/22,1,1,1,1893,49
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,1,0,0,38022,1491
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,1,1,1,1075,15
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,3,1,0,10,0
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,5,0,1,3,0
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,3,1,1,122,1
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,3,1,1,105,1
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,3,0,1,1727,20
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,3,0,1,4181,251
E54000064,NHS Sussex Integrated Care Board,2020/21,1,1,0,318,6
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,1,0,0,39495,2422
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,3,1,0,41,1
E54000064,NHS Sussex Integrated Care Board,2022/23,1,0,0,94364,6437
E54000037,NHS Devon Integrated Care Board,2022/23,5,0,1,2,0
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,4,0,1,2,0
E54000030,NHS South East London Integrated Care Board,2021/22,5,0,1,13,1
E54000037,NHS Devon Integrated Care Board,2020/21,5,0,1,5,0
E54000028,NHS North Central London Integrated Care Board,2022/23,4,1,0,11,0
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,3,0,1,796,27
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,3,1,1,248,2
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,3,1,0,69,1
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,1,0,0,32967,1057
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,3,0,0,11317,27
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,1,0,0,38561,2369
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,5,1,1,7,0
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,4,0,0,94,12
E54000027,NHS North West London Integrated Care Board,2021/22,4,0,1,2115,48
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,1,1,1,1207,32
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,1,1,1,1363,42
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,3,0,1,16611,712
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,1,1,1,1029,19
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,1,0,1,22132,1636
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,1,0,0,84562,1958
E54000029,NHS North East London Integrated Care Board,2021/22,1,0,1,39081,2611
E54000030,NHS South East London Integrated Care Board,2019/20,1,0,0,117180,3305
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,1,1,1,1003,17
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,4,0,1,2302,26
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,4,0,1,57,2
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,4,0,1,2689,127
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,1,0,1,25431,415
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,4,1,0,1,0
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,5,0,0,7,0
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,1,1,1,1459,58
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,3,1,0,166,0
E54000028,NHS North Central London Integrated Care Board,2021/22,3,1,1,117,3
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,1,0,1,29809,3424
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,3,0,1,1848,29
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,3,1,1,104,1
E54000031,NHS South West London Integrated Care Board,2022/23,1,0,1,32617,1322
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,4,0,0,10,0
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,1,1,1,888,47
E54000029,NHS North East London Integrated Care Board,2023/24,1,1,1,1662,60
E54000027,NHS North West London Integrated Care Board,2020/21,4,1,1,1,0
E54000029,NHS North East London Integrated Care Board,2023/24,4,0,0,284,20
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,4,1,0,4,0
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,4,0,0,104,5
E54000027,NHS North West London Integrated Care Board,2022/23,3,0,1,16586,1415
