ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2109EWls0189,Count,Person,"Age 18 to 19, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0190,Count,Person,"Age 18 to 19, Other ethnic group: Total"
LC2109EWls0191,Count,Person,"Age 18 to 19, Other ethnic group: Arab"
LC2109EWls0192,Count,Person,"Age 18 to 19, Other ethnic group: Any other ethnic group"
LC2109EWls0193,Count,Person,"Age 20 to 24, All categories: Ethnic group"
LC2109EWls0194,Count,Person,"Age 20 to 24, White: Total"
LC2109EWls0195,Count,Person,"Age 20 to 24, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0196,Count,Person,"Age 20 to 24, White: Irish"
LC2109EWls0197,Count,Person,"Age 20 to 24, White: Gypsy or Irish Traveller"
LC2109EWls0198,Count,Person,"Age 20 to 24, White: Other White"
LC2109EWls0199,Count,Person,"Age 20 to 24, Mixed/multiple ethnic group: Total"
LC2109EWls0200,Count,Person,"Age 20 to 24, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0201,Count,Person,"Age 20 to 24, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0202,Count,Person,"Age 20 to 24, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0203,Count,Person,"Age 20 to 24, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0204,Count,Person,"Age 20 to 24, Asian/Asian British: Total"
LC2109EWls0205,Count,Person,"Age 20 to 24, Asian/Asian British: Indian"
LC2109EWls0206,Count,Person,"Age 20 to 24, Asian/Asian British: Pakistani"
LC2109EWls0207,Count,Person,"Age 20 to 24, Asian/Asian British: Bangladeshi"
LC2109EWls0208,Count,Person,"Age 20 to 24, Asian/Asian British: Chinese"
LC2109EWls0209,Count,Person,"Age 20 to 24, Asian/Asian British: Other Asian"
LC2109EWls0210,Count,Person,"Age 20 to 24, Black/African/Caribbean/Black British: Total"
LC2109EWls0211,Count,Person,"Age 20 to 24, Black/African/Caribbean/Black British: African"
LC2109EWls0212,Count,Person,"Age 20 to 24, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0213,Count,Person,"Age 20 to 24, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0214,Count,Person,"Age 20 to 24, Other ethnic group: Total"
LC2109EWls0215,Count,Person,"Age 20 to 24, Other ethnic group: Arab"
LC2109EWls0216,Count,Person,"Age 20 to 24, Other ethnic group: Any other ethnic group"
LC2109EWls0217,Count,Person,"Age 25 to 29, All categories: Ethnic group"
LC2109EWls0218,Count,Person,"Age 25 to 29, White: Total"
LC2109EWls0219,Count,Person,"Age 25 to 29, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0220,Count,Person,"Age 25 to 29, White: Irish"
LC2109EWls0221,Count,Person,"Age 25 to 29, White: Gypsy or Irish Traveller"
LC2109EWls0222,Count,Person,"Age 25 to 29, White: Other White"
LC2109EWls0223,Count,Person,"Age 25 to 29, Mixed/multiple ethnic group: Total"
LC2109EWls0224,Count,Person,"Age 25 to 29, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0225,Count,Person,"Age 25 to 29, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0226,Count,Person,"Age 25 to 29, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0227,Count,Person,"Age 25 to 29, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0228,Count,Person,"Age 25 to 29, Asian/Asian British: Total"
LC2109EWls0229,Count,Person,"Age 25 to 29, Asian/Asian British: Indian"
LC2109EWls0230,Count,Person,"Age 25 to 29, Asian/Asian British: Pakistani"
LC2109EWls0231,Count,Person,"Age 25 to 29, Asian/Asian British: Bangladeshi"
LC2109EWls0232,Count,Person,"Age 25 to 29, Asian/Asian British: Chinese"
LC2109EWls0233,Count,Person,"Age 25 to 29, Asian/Asian British: Other Asian"
LC2109EWls0234,Count,Person,"Age 25 to 29, Black/African/Caribbean/Black British: Total"
LC2109EWls0235,Count,Person,"Age 25 to 29, Black/African/Caribbean/Black British: African"
LC2109EWls0236,Count,Person,"Age 25 to 29, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0237,Count,Person,"Age 25 to 29, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0238,Count,Person,"Age 25 to 29, Other ethnic group: Total"
LC2109EWls0239,Count,Person,"Age 25 to 29, Other ethnic group: Arab"
LC2109EWls0240,Count,Person,"Age 25 to 29, Other ethnic group: Any other ethnic group"
LC2109EWls0241,Count,Person,"Age 30 to 34, All categories: Ethnic group"
LC2109EWls0242,Count,Person,"Age 30 to 34, White: Total"
LC2109EWls0243,Count,Person,"Age 30 to 34, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0244,Count,Person,"Age 30 to 34, White: Irish"
LC2109EWls0245,Count,Person,"Age 30 to 34, White: Gypsy or Irish Traveller"
LC2109EWls0246,Count,Person,"Age 30 to 34, White: Other White"
LC2109EWls0247,Count,Person,"Age 30 to 34, Mixed/multiple ethnic group: Total"
LC2109EWls0248,Count,Person,"Age 30 to 34, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0249,Count,Person,"Age 30 to 34, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0250,Count,Person,"Age 30 to 34, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0251,Count,Person,"Age 30 to 34, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0252,Count,Person,"Age 30 to 34, Asian/Asian British: Total"
LC2109EWls0253,Count,Person,"Age 30 to 34, Asian/Asian British: Indian"
LC2109EWls0254,Count,Person,"Age 30 to 34, Asian/Asian British: Pakistani"
LC2109EWls0255,Count,Person,"Age 30 to 34, Asian/Asian British: Bangladeshi"
LC2109EWls0256,Count,Person,"Age 30 to 34, Asian/Asian British: Chinese"
LC2109EWls0257,Count,Person,"Age 30 to 34, Asian/Asian British: Other Asian"
LC2109EWls0258,Count,Person,"Age 30 to 34, Black/African/Caribbean/Black British: Total"
LC2109EWls0259,Count,Person,"Age 30 to 34, Black/African/Caribbean/Black British: African"
LC2109EWls0260,Count,Person,"Age 30 to 34, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0261,Count,Person,"Age 30 to 34, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0262,Count,Person,"Age 30 to 34, Other ethnic group: Total"
LC2109EWls0263,Count,Person,"Age 30 to 34, Other ethnic group: Arab"
LC2109EWls0264,Count,Person,"Age 30 to 34, Other ethnic group: Any other ethnic group"
LC2109EWls0265,Count,Person,"Age 35 to 39, All categories: Ethnic group"
LC2109EWls0266,Count,Person,"Age 35 to 39, White: Total"
LC2109EWls0267,Count,Person,"Age 35 to 39, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0268,Count,Person,"Age 35 to 39, White: Irish"
LC2109EWls0269,Count,Person,"Age 35 to 39, White: Gypsy or Irish Traveller"
LC2109EWls0270,Count,Person,"Age 35 to 39, White: Other White"
LC2109EWls0271,Count,Person,"Age 35 to 39, Mixed/multiple ethnic group: Total"
LC2109EWls0272,Count,Person,"Age 35 to 39, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0273,Count,Person,"Age 35 to 39, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0274,Count,Person,"Age 35 to 39, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0275,Count,Person,"Age 35 to 39, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0276,Count,Person,"Age 35 to 39, Asian/Asian British: Total"
LC2109EWls0277,Count,Person,"Age 35 to 39, Asian/Asian British: Indian"
LC2109EWls0278,Count,Person,"Age 35 to 39, Asian/Asian British: Pakistani"
LC2109EWls0279,Count,Person,"Age 35 to 39, Asian/Asian British: Bangladeshi"
LC2109EWls0280,Count,Person,"Age 35 to 39, Asian/Asian British: Chinese"
LC2109EWls0281,Count,Person,"Age 35 to 39, Asian/Asian British: Other Asian"
LC2109EWls0282,Count,Person,"Age 35 to 39, Black/African/Caribbean/Black British: Total"
LC2109EWls0283,Count,Person,"Age 35 to 39, Black/African/Caribbean/Black British: African"
LC2109EWls0284,Count,Person,"Age 35 to 39, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0285,Count,Person,"Age 35 to 39, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0286,Count,Person,"Age 35 to 39, Other ethnic group: Total"
LC2109EWls0287,Count,Person,"Age 35 to 39, Other ethnic group: Arab"
LC2109EWls0288,Count,Person,"Age 35 to 39, Other ethnic group: Any other ethnic group"
LC2109EWls0289,Count,Person,"Age 40 to 44, All categories: Ethnic group"
LC2109EWls0290,Count,Person,"Age 40 to 44, White: Total"
LC2109EWls0291,Count,Person,"Age 40 to 44, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0292,Count,Person,"Age 40 to 44, White: Irish"
LC2109EWls0293,Count,Person,"Age 40 to 44, White: Gypsy or Irish Traveller"
