ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,1,8,1,30
E54000062,NHS Black Country Integrated Care Board,2020/21,1,21,1,90
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,1,16,1,38
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,3,19,1,17
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,1,7,1,35
E54000037,NHS Devon Integrated Care Board,2022/23,4,8,0,24
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,1,3,1,32
E54000027,NHS North West London Integrated Care Board,2023/24,5,16,0,207
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,3,8,0,1240
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,3,16,1,3
E54000029,NHS North East London Integrated Care Board,2022/23,5,5,0,8
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,4,6,0,3
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,4,11,1,1
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,4,9,1,6
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,4,8,0,7
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,3,12,1,3
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,5,12,0,1
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,5,8,0,2
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,4,23,0,1
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,4,22,0,1
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,3,5,1,1
E54000031,NHS South West London Integrated Care Board,2023/24,5,16,0,24
E54000034,NHS Frimley Integrated Care Board,2022/23,1,15,0,3915
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,1,4,0,339
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,1,18,1,46
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,1,14,1,42
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,5,17,0,61
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,19,0,15962
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,1,4,1,32
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,6,1,17
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,3,9,0,3492
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,3,12,1,18
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,7,0,1432
