ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,1,22,0,6601
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,1,10,0,49748
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,1,10,0,33278
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,1,22,1,442
E54000064,NHS Sussex Integrated Care Board,2021/22,3,8,1,52
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,1,14,1,173
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,1,15,1,211
E54000034,NHS Frimley Integrated Care Board,2019/20,3,12,1,2
E54000028,NHS North Central London Integrated Care Board,2020/21,1,9,0,10423
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,3,17,1,77
E54000061,NHS South Yorkshire Integrated Care Board,2022/23,1,15,1,341
E54000028,NHS North Central London Integrated Care Board,2020/21,1,11,0,14886
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,1,12,0,6695
E54000030,NHS South East London Integrated Care Board,2022/23,3,11,1,81
E54000034,NHS Frimley Integrated Care Board,2019/20,5,4,0,202
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,1,9,0,7015
E54000029,NHS North East London Integrated Care Board,2019/20,3,6,0,1178
E54000064,NHS Sussex Integrated Care Board,2021/22,3,18,0,13729
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,1,23,1,176
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,3,0,0,915
E54000041,NHS Dorset Integrated Care Board,2019/20,1,3,1,68
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,1,14,1,269
E54000028,NHS North Central London Integrated Care Board,2022/23,3,5,1,8
E54000064,NHS Sussex Integrated Care Board,2019/20,1,15,0,26131
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,1,17,0,8577
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,3,18,0,1734
E54000028,NHS North Central London Integrated Care Board,2022/23,1,16,1,254
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2022/23,5,14,0,45
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,3,7,1,4
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,3,16,1,3
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,3,20,1,6
