ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,4,0,0,34328,355
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,3,0,0,47347,504
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,3,0,0,23659,630
E54000028,NHS North Central London Integrated Care Board,2022/23,3,1,1,271,6
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,5,0,1,9,1
E54000027,NHS North West London Integrated Care Board,2022/23,3,1,0,424,4
E54000029,NHS North East London Integrated Care Board,2020/21,3,1,0,618,2
E54000041,NHS Dorset Integrated Care Board,2021/22,1,0,0,146321,4250
E54000031,NHS South West London Integrated Care Board,2019/20,5,0,0,20,0
E54000031,NHS South West London Integrated Care Board,2022/23,3,1,0,102,0
E54000037,NHS Devon Integrated Care Board,2023/24,3,1,1,157,4
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,3,1,1,72,6
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,1,0,0,199124,19585
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,1,0,1,145787,15504
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,1,1,1,1806,21
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,3,1,0,188,3
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,1,1,0,1208,22
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,5,0,0,9,0
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,1,1,1,1812,41
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,5,0,0,6,0
E54000027,NHS North West London Integrated Care Board,2020/21,5,1,0,10,0
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,3,1,1,151,0
E54000030,NHS South East London Integrated Care Board,2020/21,5,0,0,70,1
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,1,1,1,5809,224
E54000028,NHS North Central London Integrated Care Board,2019/20,5,0,0,8,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,0,0,74689,4252
E54000030,NHS South East London Integrated Care Board,2020/21,5,1,0,1,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,5,1,1,1,0
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,3,1,0,184,8
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,1,0,1,334554,56953
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,5,1,0,55,0
E54000028,NHS North Central London Integrated Care Board,2022/23,5,0,0,1176,24
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,3,0,1,17035,183
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,3,1,1,36,3
E54000041,NHS Dorset Integrated Care Board,2021/22,1,1,1,2275,68
E54000064,NHS Sussex Integrated Care Board,2021/22,4,0,0,426,3
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,4,0,1,34,1
E54000034,NHS Frimley Integrated Care Board,2020/21,1,1,0,522,2
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,1,0,1,65907,2919
E54000034,NHS Frimley Integrated Care Board,2019/20,5,1,1,65,0
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,1,0,1,55972,3477
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,1,1,1,5705,238
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,5,0,0,981,12
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,3,0,1,31188,1668
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,4,0,1,1800,108
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,5,0,0,16,0
E54000041,NHS Dorset Integrated Care Board,2021/22,3,1,0,13,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,3,0,0,71139,719
E54000028,NHS North Central London Integrated Care Board,2020/21,3,1,1,226,0
E54000031,NHS South West London Integrated Care Board,2019/20,1,1,1,2820,69
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,3,1,0,253,2
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,3,0,0,129589,1765
E54000028,NHS North Central London Integrated Care Board,2023/24,4,0,1,9260,446
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,4,0,0,699,35
E54000027,NHS North West London Integrated Care Board,2020/21,3,0,0,66238,911
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,3,1,0,23,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,5,1,1,2,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,4,1,1,1,0
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,5,0,1,6,0
E54000034,NHS Frimley Integrated Care Board,2023/24,3,1,0,14,0
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,5,0,1,26,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,3,0,1,4971,172
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,1,1,0,1131,16
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,1,1,0,792,9
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,1,0,1,56346,2527
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,4,1,1,1,0
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,5,0,1,1,0
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,5,0,1,2,0
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,3,0,1,32371,1725
E54000038,NHS Somerset Integrated Care Board,2023/24,3,1,1,174,1
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,5,0,0,13,0
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,1,0,0,373909,10623
E54000064,NHS Sussex Integrated Care Board,2022/23,3,0,0,204427,8424
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,1,0,1,103934,4171
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,4,0,0,147,0
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,3,1,0,53,0
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,5,1,1,3,0
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,3,0,0,69945,744
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,1,0,0,338519,18238
