ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_attends,mh_pats,mh_attends,mh_freqfly,mh_freqfly_attends
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,60505,92232,1279,1766,27,219
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,60529,91619,1166,1515,24,176
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,60587,92478,1264,1658,20,162
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,58302,83615,670,818,9,63
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,36957,49567,613,798,8,75
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,58841,85377,775,937,5,31
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2022/23,62720,92081,689,840,8,50
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,62046,91795,685,858,10,74
E54000041,NHS Dorset Integrated Care Board,2019/20,50848,76770,692,866,10,58
E54000041,NHS Dorset Integrated Care Board,2020/21,34006,49332,627,799,9,60
E54000041,NHS Dorset Integrated Care Board,2021/22,46420,69184,794,1021,10,61
E54000041,NHS Dorset Integrated Care Board,2022/23,49149,73095,769,1016,17,110
E54000041,NHS Dorset Integrated Care Board,2023/24,49354,74618,756,1094,25,197
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,100333,145797,2129,2970,49,436
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,66428,92217,1631,2296,38,340
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,117799,180289,2251,3010,34,279
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,114966,176891,2158,3083,58,456
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,116257,181345,2378,3350,52,496
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,41458,62790,95,102,0,0
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,22565,31030,270,355,6,42
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,36535,52903,331,405,5,28
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,42771,65624,421,552,4,54
E54000043,NHS Gloucestershire Integrated Care Board,2023/24,44143,68661,434,540,6,53
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,109245,162987,1147,1305,3,21
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,69532,99607,923,1081,5,38
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,112251,164478,1034,1199,5,32
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,113815,167679,794,901,3,15
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,109931,162958,915,1088,6,32
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,124649,192779,1966,2542,31,214
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,86899,127152,2286,2883,25,177
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,140147,230805,2635,3403,29,243
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,150944,252198,2231,2839,22,168
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,154933,279973,1837,2463,33,252
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,226491,375731,2132,2553,19,151
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,153199,238208,1876,2252,21,155
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,253314,443533,2503,3035,21,192
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,270907,478846,2353,2931,31,252
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,267805,473846,2376,2955,30,270
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,123726,196482,1731,2102,15,123
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,81365,119291,1513,1993,30,259
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,124618,202336,1738,2146,21,133
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,133749,218975,1446,1854,21,189
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,134736,225105,1480,1864,18,149
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,187140,283623,2722,3399,21,189
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,127552,184890,2255,2881,37,248
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,194641,300524,2684,3236,20,152
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,197201,302696,2204,2711,27,220
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,187664,288305,2259,2718,15,147
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,116268,181093,2283,3074,41,326
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,71693,105858,1992,2732,43,356
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,120165,188589,2405,3144,34,284
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,126120,199651,2186,2757,24,187
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,121077,190487,2090,2735,33,280
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,63806,96959,682,869,5,39
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,42880,61667,584,779,10,95
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,66549,102320,742,996,16,106
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2022/23,73062,113106,753,977,16,107
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,72067,112356,777,959,8,49
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,230860,374458,4693,6120,59,587
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,175475,268566,4248,5575,63,577
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,269609,451435,4308,5461,47,454
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,269655,457606,3431,4288,44,344
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,267597,456848,3301,4093,40,288
E54000058,NHS Derby and Derbyshire Integrated Care Board,2019/20,73125,115710,1181,1434,10,69
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,50163,78794,1139,1536,20,190
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,76537,120934,1520,1978,19,169
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,84372,136400,1270,1628,18,135
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,88485,153469,1392,1754,14,104
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,60631,102966,1036,1417,19,183
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,39986,61373,997,1512,37,335
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,63438,109496,1243,1687,30,234
E54000059,NHS Northamptonshire Integrated Care Board,2022/23,70277,127413,1199,1631,28,256
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,69051,124718,1192,1638,25,236
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,88260,135197,1393,1713,13,106
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,55398,83184,1118,1412,14,117
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,86719,141128,1197,1506,16,112
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,92081,143647,1225,1507,13,102
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2023/24,90507,141487,1187,1489,18,142
E54000061,NHS South Yorkshire Integrated Care Board,2019/20,118026,187635,1591,2027,16,159
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,79682,117291,1536,1982,23,168
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,118022,190508,1964,2519,21,199
E54000061,NHS South Yorkshire Integrated Care Board,2022/23,119986,192757,1942,2422,23,162
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,115706,191751,1950,2479,22,152
E54000062,NHS Black Country Integrated Care Board,2019/20,91889,143922,1573,1990,28,188
E54000062,NHS Black Country Integrated Care Board,2020/21,57996,85718,1209,1547,17,133
E54000062,NHS Black Country Integrated Care Board,2021/22,107885,179602,1882,2412,26,215
E54000062,NHS Black Country Integrated Care Board,2022/23,115913,196348,1726,2296,31,277
E54000062,NHS Black Country Integrated Care Board,2023/24,118610,219204,1551,2038,22,190
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,69612,107379,841,1041,9,56
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,45533,66232,770,959,7,39
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,82000,131364,858,1056,10,62
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,88369,141482,793,956,8,58
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,84867,132963,664,819,4,27
E54000064,NHS Sussex Integrated Care Board,2019/20,118263,184324,2563,3518,48,415
E54000064,NHS Sussex Integrated Care Board,2020/21,85990,126565,2354,3222,49,412
E54000064,NHS Sussex Integrated Care Board,2021/22,126699,202839,2853,3972,54,471
E54000064,NHS Sussex Integrated Care Board,2022/23,133538,216929,2660,3756,64,508
E54000064,NHS Sussex Integrated Care Board,2023/24,130017,212014,2464,3604,65,586
