age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
75+,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000051,NHS Leicester Leicestershire and Rutland ICB - 03W,NULL,Rural,female,1,0,2020/21,Recommended to Attend Primary and Community Care,2,24
75+,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,6,Rural,male,0,0,2021/22,Recommended to Attend Other Service,4,60
35-59,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000201,NHS Leicester Leicestershire and Rutland ICB - 04V,3,Urban,male,0,0,2020/21,5.27b (Home Care),32,648
0-19,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,3,Urban,male,0,1,2020/21,NULL,17,324
0-19,E54000062,NHS Black Country Integrated Care Board,E38000259,NHS Black Country ICB - D2P2L,3,Urban,female,0,1,2019/20,5.23 (Ambulance),117,2160
60-74,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000221,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 15A,1,Urban,male,0,1,2021/22,Recommended to Attend Primary and Community Care,17,300
20-34,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000127,NHS North East and North Cumbria ICB - 99C,4,Urban,female,0,0,2019/20,5.23 (Ambulance),2,36
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000205,NHS Greater Manchester ICB - 02H,1,Urban,male,0,0,2021/22,Recommended to Attend A&E,64,1320
0-19,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,9,Urban,female,0,1,2020/21,Ambulance Dispatches,1,24
35-59,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,5,Rural,female,0,1,2019/20,Recommended to Attend Primary and Community Care,158,3168
75+,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,6,Urban,female,0,1,2020/21,Recommended to Attend A&E,6,108
60-74,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,NULL,Urban,male,0,0,2020/21,5.26 (Other Service),910,10920
0-19,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000226,NHS Lancashire and South Cumbria ICB - 02M,8,Urban,female,0,0,2021/22,Recommended to Attend Other Service,36,672
60-74,E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,E38000097,NHS Leicester Leicestershire and Rutland ICB - 04C,6,Urban,female,1,1,2021/22,Recommended to Attend A&E,4,48
0-19,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,7,Urban,male,0,0,2020/21,Recommended to Attend Primary and Community Care,38,648
60-74,E54000026,NHS Mid and South Essex Integrated Care Board,E38000106,NHS Mid and South Essex ICB - 06Q,3,Urban,female,0,1,2020/21,Not Recommended to Attend Other Service,29,528
75+,E54000057,NHS Greater Manchester Integrated Care Board,E38000135,NHS Greater Manchester ICB - 00Y,8,Urban,female,0,1,2019/20,Recommended to Attend Other Service,24,432
20-34,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E38000049,NHS Hertfordshire and West Essex ICB - 06K,10,Urban,female,0,1,2020/21,Recommended to Attend A&E,51,1128
0-19,E54000013,NHS Lincolnshire Integrated Care Board,E38000238,NHS Lincolnshire ICB - 71E,10,Rural,female,1,1,2021/22,Recommended to Attend Other Service,1,12
60-74,E54000054,NHS West Yorkshire Integrated Care Board,E38000232,NHS West Yorkshire ICB - 36J,9,Urban,female,1,1,2019/20,Recommended to Attend Primary and Community Care,1,12
60-74,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,1,Urban,female,0,0,2020/21,5.26 (Other Service),28,564
35-59,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,2,Urban,male,0,1,2020/21,Ambulance Dispatches,7,132
20-34,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000130,NHS North East and North Cumbria ICB - 00L,9,Rural,male,0,1,2021/22,Not Recommended to Attend Other Service,1,12
20-34,E54000050,NHS North East and North Cumbria Integrated Care Board,E38000215,NHS North East and North Cumbria ICB - 01H,4,Rural,male,0,0,2019/20,5.23 (Ambulance),1,24
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000205,NHS Greater Manchester ICB - 02H,3,Urban,male,0,0,2021/22,Recommended to Attend Other Service,33,528
0-19,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000194,NHS Cheshire and Merseyside ICB - 02E,NULL,Rural,female,0,0,2021/22,5.26 (Other Service),11,132
60-74,E54000029,NHS North East London Integrated Care Board,E38000255,NHS North East London ICB - A3A8R,2,Urban,female,0,1,2020/21,Ambulance Dispatches,337,6000
20-34,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000136,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 10Q,10,Urban,female,0,1,2020/21,Not Recommended to Attend Other Service,135,2592
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000263,NHS Greater Manchester ICB - 01Y,6,Urban,female,0,1,2019/20,Recommended to Attend Primary and Community Care,78,1224
0-19,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,5,Urban,female,0,1,2020/21,Recommended to Attend A&E,4,72
