ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000058,NHS Derby and Derbyshire Integrated Care Board,2017/18,5,1,114
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,14,0,4810
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,17,0,4637
E54000027,NHS North West London Integrated Care Board,2020/21,21,1,19669
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,21,0,14278
E54000029,NHS North East London Integrated Care Board,2020/21,1,0,5092
E54000028,NHS North Central London Integrated Care Board,2019/20,6,0,533
E54000041,NHS Dorset Integrated Care Board,2019/20,12,0,3293
E54000064,NHS Sussex Integrated Care Board,2021/22,21,0,570
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,18,1,557
E54000059,NHS Northamptonshire Integrated Care Board,2018/19,3,0,2291
E54000038,NHS Somerset Integrated Care Board,2021/22,4,1,67
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2018/19,21,1,9931
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,9,1,12600
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2018/19,0,1,195
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,15,1,956
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,13,0,3859
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,14,1,7395
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,23,1,9051
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2018/19,6,1,2032
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,4,0,25
E54000031,NHS South West London Integrated Care Board,2020/21,14,0,9608
E54000028,NHS North Central London Integrated Care Board,2021/22,15,1,2658
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,21,1,8065
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,8,0,9360
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,16,1,3616
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2018/19,15,1,2827
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2018/19,1,0,1376
E54000028,NHS North Central London Integrated Care Board,2020/21,7,1,1067
E54000022,NHS Norfolk and Waveney Integrated Care Board,2017/18,16,1,9379
E54000062,NHS Black Country Integrated Care Board,2018/19,16,0,4643
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2018/19,0,0,2853
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,3,0,1111
