ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_calls,mh_pats,mh_calls,mh_freqfly,mh_freqfly_calls
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2017/18,84904,122154,67308,89566,677,5756
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2018/19,144605,245885,113564,170675,2613,20528
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,143510,240312,106739,157240,2073,16532
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,149264,245614,104584,149356,1812,14949
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,134392,211749,95881,134101,1369,10840
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2017/18,75057,108566,59449,79603,689,5729
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2018/19,135570,265943,91149,143178,2144,21720
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,143599,278230,94387,142342,2006,19430
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,151756,293771,93201,139966,1873,19810
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,146572,273128,102482,153645,1970,18840
E54000041,NHS Dorset Integrated Care Board,2017/18,115969,210216,109858,182457,3746,33328
E54000041,NHS Dorset Integrated Care Board,2018/19,116397,210859,106842,174692,3464,30311
E54000041,NHS Dorset Integrated Care Board,2019/20,116570,218842,101598,161413,2791,24133
E54000041,NHS Dorset Integrated Care Board,2020/21,115153,230488,72178,109008,1316,15492
E54000041,NHS Dorset Integrated Care Board,2021/22,111767,210598,52196,73136,540,8142
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2017/18,272064,557615,229188,407480,10176,88659
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2018/19,284698,541415,241015,394045,8101,70587
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,302762,594866,240849,394118,7909,70731
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,335244,687311,247123,395819,7365,64426
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,317602,704721,212814,317199,4512,36426
E54000043,NHS Gloucestershire Integrated Care Board,2017/18,50725,71319,40033,52174,376,3080
E54000043,NHS Gloucestershire Integrated Care Board,2018/19,82534,135689,64180,93992,1215,10075
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,89744,145222,65673,93823,1094,8635
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,96427,154653,67265,93610,988,8268
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,77677,117776,55415,74553,643,5019
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2017/18,240974,487833,209141,374055,9088,80657
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2018/19,252871,440774,218944,339432,5910,47479
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,270220,476737,225510,348743,5772,47890
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,275284,481508,217711,327591,5002,41434
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,280274,495236,214267,314274,4123,31476
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2017/18,230437,377965,6870,8581,34,492
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2018/19,232712,382934,7638,9392,41,482
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,240189,399874,7638,9410,50,430
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,248650,407408,10467,12785,66,705
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,226575,353790,8638,10400,41,465
E54000050,NHS North East and North Cumbria Integrated Care Board,2017/18,495426,954011,12176,14895,69,1058
E54000050,NHS North East and North Cumbria Integrated Care Board,2018/19,504431,954971,13406,16183,74,890
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,516384,971959,108747,140092,995,7119
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,513649,920064,434979,727322,16444,130419
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,345477,527480,278618,399792,5052,36596
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2017/18,225042,379471,209421,334117,6428,54113
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2018/19,232846,392453,210948,332435,6135,51601
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,238024,401573,210701,328776,5851,49513
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,259585,440105,218536,341644,6030,54131
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,228799,370164,190429,282231,3780,33925
E54000054,NHS West Yorkshire Integrated Care Board,2017/18,375631,657610,354476,587382,12364,100432
E54000054,NHS West Yorkshire Integrated Care Board,2018/19,374733,657307,343882,561819,11389,92858
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,362569,628853,319185,509272,9604,79754
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,390264,684343,324322,519960,9301,88662
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,356243,593984,295604,450761,6530,59417
E54000055,NHS Birmingham and Solihull Integrated Care Board,2017/18,111328,165728,83000,112039,1017,8300
E54000055,NHS Birmingham and Solihull Integrated Care Board,2018/19,150688,238273,107682,150035,1650,12904
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,158288,257806,59185,74816,478,4021
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,233072,409971,174640,268769,4044,38847
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,19970,25814,12100,14582,59,765
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2017/18,117491,202211,111715,180310,3298,30381
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2018/19,122845,210868,113088,183500,3206,32393
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,131938,238170,10878,14607,126,1169
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2020/21,135097,228490,8952,11792,96,902
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2021/22,130377,216054,9739,12241,62,762
E54000057,NHS Greater Manchester Integrated Care Board,2017/18,312526,504438,9341,11565,51,715
