Integrated care boards Code,Integrated care boards,Ethnic group (20 categories) Code,Ethnic group (20 categories),Age (7 categories) Code,Age (7 categories),Observation
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,Aged 4 years and under,1585
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,Aged 5 to 15 years,3051
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,Aged 16 to 17 years,473
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,Aged 18 to 20 years,633
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,Aged 21 to 24 years,802
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,Aged 25 to 29 years,924
E54000008,NHS Cheshire and Merseyside Integrated Care Board,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,Aged 30 years and over,5268
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",1,Aged 4 years and under,110212
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",2,Aged 5 to 15 years,269119
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",3,Aged 16 to 17 years,48162
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",4,Aged 18 to 20 years,73124
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",5,Aged 21 to 24 years,102432
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",6,Aged 25 to 29 years,131916
E54000008,NHS Cheshire and Merseyside Integrated Care Board,13,"White: English, Welsh, Scottish, Northern Irish or British",7,Aged 30 years and over,1496557
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,1,Aged 4 years and under,336
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,2,Aged 5 to 15 years,752
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,3,Aged 16 to 17 years,177
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,4,Aged 18 to 20 years,828
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,5,Aged 21 to 24 years,1390
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,6,Aged 25 to 29 years,1365
E54000008,NHS Cheshire and Merseyside Integrated Care Board,14,White: Irish,7,Aged 30 years and over,15923
